arm,subject,file_name,gesture,n,dist_to_gesture_median,robust_z
right arm,Matthew,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.018118880689144135,-0.836726725101471
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.02262464351952076,-0.5282000303268433
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.03613951429724693,0.3972145915031433
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.024496905505657196,-0.39999911189079285
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.02470341883599758,-0.38585835695266724
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.025135919451713562,-0.35624340176582336
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.026657743379473686,-0.2520383298397064
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.023336278274655342,-0.4794716536998749
right arm,Matthew,Matthew_session09_filtered.npz,neutral,410,0.01974402368068695,-0.7254469990730286
right arm,Matthew,Matthew_session10_filtered.npz,neutral,410,0.018587425351142883,-0.8046436905860901
right arm,Matthew,Matthew_session11_filtered.npz,neutral,410,0.020047280937433243,-0.7046818137168884
right arm,Matthew,Matthew_session12_filtered.npz,neutral,410,0.02050516940653324,-0.6733284592628479
right arm,Matthew,Matthew_session13_filtered.npz,neutral,410,0.018213169649243355,-0.8302704095840454
right arm,Matthew,Matthew_session14_filtered.npz,neutral,410,0.020677097141742706,-0.6615558862686157
right arm,Matthew,Matthew_session15_filtered.npz,neutral,410,0.020532151684165,-0.6714808940887451
right arm,Matthew,Matthew_session16_filtered.npz,neutral,411,0.023666581138968468,-0.45685458183288574
right arm,Matthew,Matthew_session17_filtered.npz,neutral,410,0.024722766131162643,-0.3845335841178894
right arm,Matthew,Matthew_session18_filtered.npz,neutral,410,0.021251671016216278,-0.6222126483917236
right arm,Matthew,Matthew_session19_filtered.npz,neutral,410,0.021997397765517235,-0.5711498856544495
right arm,Matthew,Matthew_session20_filtered.npz,neutral,410,0.019951332360506058,-0.7112517952919006
right arm,Matthew,Matthew_session21_filtered.npz,neutral,410,0.024509869515895844,-0.39911141991615295
right arm,Matthew,Matthew_session22_filtered.npz,neutral,470,0.1779918670654297,10.110384941101074
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,neutral,409,0.045752137899398804,1.0554275512695312
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.028023019433021545,-0.15855267643928528
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,neutral,411,0.028066447004675865,-0.15557903051376343
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.027560541406273842,-0.19022031128406525
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.024193253368139267,-0.4207913279533386
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.02577134594321251,-0.31273332238197327
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.02699931338429451,-0.22864972054958344
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,neutral,409,0.022381970658898354,-0.5448167324066162
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.023912973701953888,-0.4399831295013428
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.029993722215294838,-0.0236111581325531
right arm,subject03,subject03_session04_relabeled_first_gesture_dropped_filtered.npz,neutral,409,0.0331231988966465,0.1906760185956955
right arm,subject03,subject03_session05_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.03171820193529129,0.09447052329778671
right arm,subject03,subject03_session06_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.03276984393596649,0.16648045182228088
right arm,subject04,subject04_session01_relabeled_first_gesture_dropped_filtered.npz,neutral,409,0.03609641268849373,0.39426326751708984
right arm,subject04,subject04_session02_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.06839434802532196,2.605825901031494
right arm,subject04,subject04_session03_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.04037155210971832,0.6869983077049255
right arm,subject04,subject04_session04_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.03033854253590107,0.0
right arm,subject04,subject04_session05_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.026132481172680855,-0.2880050241947174
right arm,subject05,subject05_session01_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.019544990733265877,-0.7390755414962769
right arm,subject05,subject05_session02_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.019358644261956215,-0.7518354058265686
right arm,subject05,subject05_session03_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.023369478061795235,-0.47719836235046387
right arm,subject05,subject05_session04_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.058136727660894394,1.9034475088119507
right arm,subject06,subject06_session01_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.020476818084716797,-0.6752697825431824
right arm,subject06,subject06_session02_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.020646855235099792,-0.6636266708374023
right arm,subject06,subject06_session03_relabeled_first_gesture_dropped_filtered.npz,neutral,409,0.01902468502521515,-0.7747028470039368
right arm,subject06,subject06_session04_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.018888916820287704,-0.7839994430541992
right arm,subject06,subject06_session05_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.01871095970273018,-0.7961848378181458
right arm,subject06,subject06_session06_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.01804490201175213,-0.8417923450469971
right arm,subject06,subject06_session07_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.01896931603550911,-0.7784941792488098
right arm,subject06,subject06_session08_relabeled_first_gesture_dropped_filtered.npz,neutral,410,0.019801028072834015,-0.7215436697006226
right arm,subject07,subject07_session01_filtered.npz,neutral,410,0.09354909509420395,4.3282670974731445
right arm,subject07,subject07_session02_filtered.npz,neutral,410,0.07031652331352234,2.7374446392059326
right arm,subject07,subject07_session03_filtered.npz,neutral,410,0.08648907393217087,3.8448405265808105
right arm,subject07,subject07_session04_filtered.npz,neutral,410,0.10204484313726425,4.910003185272217
right arm,subject07,subject07_session05_filtered.npz,neutral,410,0.0767996609210968,3.1813695430755615
right arm,subject07,subject07_session06_filtered.npz,neutral,410,0.06151207163929939,2.1345701217651367
right arm,subject07,subject07_session07_filtered.npz,neutral,410,0.06453476846218109,2.341545820236206
right arm,subject07,subject07_session08_filtered.npz,neutral,410,0.0639425739645958,2.3009960651397705
right arm,subject08,subject08_session01_filtered.npz,neutral,410,0.03390907868742943,0.2444881945848465
right arm,subject08,subject08_session02_filtered.npz,neutral,410,0.029468199238181114,-0.05959571525454521
right arm,subject08,subject08_session03_filtered.npz,neutral,410,0.02788843773305416,-0.16776800155639648
right arm,subject08,subject08_session04_filtered.npz,neutral,410,0.02813452109694481,-0.15091773867607117
right arm,subject08,subject08_session05_filtered.npz,neutral,410,0.02550211176276207,-0.3311688005924225
right arm,subject08,subject08_session06_filtered.npz,neutral,410,0.02660076506435871,-0.2559398412704468
right arm,subject08,subject08_session07_filtered.npz,neutral,410,0.02674216963350773,-0.24625733494758606
right arm,subject09,subject09_session01_filtered.npz,neutral,410,0.03186185285449028,0.10430685430765152
right arm,subject09,subject09_session02_filtered.npz,neutral,410,0.03357052057981491,0.22130583226680756
right arm,subject09,subject09_session03_filtered.npz,neutral,410,0.036566413938999176,0.4264460504055023
right arm,subject09,subject09_session04_filtered.npz,neutral,410,0.04018888995051384,0.674490749835968
right arm,subject09,subject09_session05_filtered.npz,neutral,410,0.04314052686095238,0.8766005635261536
right arm,subject09,subject09_session06_filtered.npz,neutral,410,0.04637358710169792,1.0979804992675781
right arm,subject10,subject10_session01_filtered.npz,neutral,410,0.13320592045783997,7.043720722198486
right arm,subject10,subject10_session02_filtered.npz,neutral,410,0.04492783918976784,0.9989846348762512
right arm,subject10,subject10_session03_filtered.npz,neutral,410,0.3705640435218811,23.296533584594727
right arm,subject10,subject10_session04_filtered.npz,neutral,410,0.056598763912916183,1.7981371879577637
right arm,subject10,subject10_session05_filtered.npz,neutral,410,0.0704934224486351,2.7495574951171875
right arm,subject10,subject10_session06_filtered.npz,neutral,410,0.2038029432296753,11.877767562866211
right arm,subject10,subject10_session07_filtered.npz,neutral,410,0.14241109788417816,7.674034118652344
right arm,subject10,subject10_session08_filtered.npz,neutral,410,0.3843465745449066,24.240276336669922
right arm,subject11,subject11_session01_filtered.npz,neutral,411,0.037191543728113174,0.4692510664463043
right arm,subject11,subject11_session02_filtered.npz,neutral,410,0.039913322776556015,0.6556216478347778
right arm,subject11,subject11_session03_filtered.npz,neutral,410,0.05168784409761429,1.4618679285049438
right arm,subject11,subject11_session04_filtered.npz,neutral,410,0.03975670412182808,0.6448973417282104
right arm,subject11,subject11_session05_filtered.npz,neutral,410,0.04179768264293671,0.7846509218215942
right arm,subject11,subject11_session06_filtered.npz,neutral,410,0.040357522666454315,0.6860376596450806
right arm,subject11,subject11_session07_filtered.npz,neutral,410,0.03401438891887665,0.25169917941093445
right arm,subject12,subject12_session01_filtered.npz,neutral,410,0.07930725067853928,3.353073835372925
right arm,subject12,subject12_session02_filtered.npz,neutral,410,0.06911307573318481,2.6550397872924805
right arm,subject12,subject12_session03_filtered.npz,neutral,410,0.04495014250278473,1.000511884689331
right arm,subject12,subject12_session04_filtered.npz,neutral,410,0.039728403091430664,0.642959475517273
right arm,subject12,subject12_session05_filtered.npz,neutral,410,0.05133794993162155,1.4379092454910278
right arm,subject12,subject12_session06_filtered.npz,neutral,410,0.04632432013750076,1.0946069955825806
right arm,subject12,subject12_session07_filtered.npz,neutral,410,0.05146753042936325,1.446782112121582
right arm,Matthew,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.03159525245428085,-0.6922435164451599
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.0388687364757061,-0.3569919466972351
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.0435614138841629,-0.14069566130638123
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04435262084007263,-0.10422711819410324
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.03749298304319382,-0.4204035997390747
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.03608183190226555,-0.4854467809200287
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.030704189091920853,-0.7333146929740906
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04576520621776581,-0.03911781683564186
right arm,Matthew,Matthew_session09_filtered.npz,left_turn,410,0.019855260848999023,-1.2333667278289795
right arm,Matthew,Matthew_session10_filtered.npz,left_turn,410,0.027280259877443314,-0.8911314606666565
right arm,Matthew,Matthew_session11_filtered.npz,left_turn,410,0.03281873092055321,-0.6358506083488464
right arm,Matthew,Matthew_session12_filtered.npz,left_turn,410,0.039461567997932434,-0.32966697216033936
right arm,Matthew,Matthew_session13_filtered.npz,left_turn,410,0.029404379427433014,-0.793225884437561
right arm,Matthew,Matthew_session14_filtered.npz,left_turn,410,0.03366860747337341,-0.596677839756012
right arm,Matthew,Matthew_session15_filtered.npz,left_turn,411,0.03044339269399643,-0.7453354001045227
right arm,Matthew,Matthew_session16_filtered.npz,left_turn,410,0.031283922493457794,-0.7065934538841248
right arm,Matthew,Matthew_session17_filtered.npz,left_turn,410,0.0333670973777771,-0.6105751395225525
right arm,Matthew,Matthew_session18_filtered.npz,left_turn,410,0.03276780620217323,-0.6381978392601013
right arm,Matthew,Matthew_session19_filtered.npz,left_turn,410,0.030843304470181465,-0.7269025444984436
right arm,Matthew,Matthew_session20_filtered.npz,left_turn,410,0.030930977314710617,-0.7228615283966064
right arm,Matthew,Matthew_session21_filtered.npz,left_turn,410,0.04122180491685867,-0.24853362143039703
right arm,Matthew,Matthew_session22_filtered.npz,left_turn,470,0.17899934947490692,6.101950168609619
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.20554229617118835,7.325375556945801
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.06124737113714218,0.674490749835968
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.058031175285577774,0.5262488722801208
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.0746651366353035,1.2929463386535645
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.07036130130290985,1.09457266330719
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.09023293852806091,2.0105020999908447
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.08546100556850433,1.7905527353286743
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.024695973843336105,-1.0102471113204956
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.025635644793510437,-0.9669355750083923
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.020387640222907066,-1.208828091621399
right arm,subject03,subject03_session04_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.020157570019364357,-1.2194325923919678
right arm,subject03,subject03_session05_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.03712300956249237,-0.43745651841163635
right arm,subject03,subject03_session06_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.03207496181130409,-0.6701326370239258
right arm,subject04,subject04_session01_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.0770258828997612,1.4017585515975952
right arm,subject04,subject04_session02_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.12874580919742584,3.785649061203003
right arm,subject04,subject04_session03_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.12644699215888977,3.6796913146972656
right arm,subject04,subject04_session04_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.07919841259717941,1.5018954277038574
right arm,subject04,subject04_session05_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04463057219982147,-0.09141570329666138
right arm,subject05,subject05_session01_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04190545156598091,-0.21702277660369873
right arm,subject05,subject05_session02_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04334675148129463,-0.1505899578332901
right arm,subject05,subject05_session03_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04522839933633804,-0.06386047601699829
right arm,subject05,subject05_session04_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.06116403266787529,0.6706494688987732
right arm,subject06,subject06_session01_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.05828005075454712,0.5377201437950134
right arm,subject06,subject06_session02_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04255715385079384,-0.18698431551456451
right arm,subject06,subject06_session03_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.0390230193734169,-0.3498806953430176
right arm,subject06,subject06_session04_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.046179741621017456,-0.020010927692055702
right arm,subject06,subject06_session05_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.05586179345846176,0.42625707387924194
right arm,subject06,subject06_session06_relabeled_first_gesture_dropped_filtered.npz,left_turn,327,0.058307282626628876,0.5389752984046936
right arm,subject06,subject06_session07_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.04843981936573982,0.08416125178337097
right arm,subject06,subject06_session08_relabeled_first_gesture_dropped_filtered.npz,left_turn,328,0.03750603273510933,-0.41980209946632385
right arm,subject07,subject07_session01_filtered.npz,left_turn,410,0.2721119225025177,10.393722534179688
right arm,subject07,subject07_session02_filtered.npz,left_turn,410,0.2947099506855011,11.435317993164062
right arm,subject07,subject07_session03_filtered.npz,left_turn,410,0.24407577514648438,9.101471900939941
right arm,subject07,subject07_session04_filtered.npz,left_turn,410,0.17820917069911957,6.065528869628906
right arm,subject07,subject07_session05_filtered.npz,left_turn,410,0.2251981794834137,8.23136043548584
right arm,subject07,subject07_session06_filtered.npz,left_turn,410,0.24648958444595337,9.212730407714844
right arm,subject07,subject07_session07_filtered.npz,left_turn,410,0.29618293046951294,11.50321102142334
right arm,subject07,subject07_session08_filtered.npz,left_turn,410,0.25797051191329956,9.741912841796875
right arm,subject08,subject08_session01_filtered.npz,left_turn,410,0.03527884930372238,-0.5224580764770508
right arm,subject08,subject08_session02_filtered.npz,left_turn,410,0.06633374094963074,0.9089332222938538
right arm,subject08,subject08_session03_filtered.npz,left_turn,410,0.07919765263795853,1.501860499382019
right arm,subject08,subject08_session04_filtered.npz,left_turn,410,0.06851218640804291,1.0093427896499634
right arm,subject08,subject08_session05_filtered.npz,left_turn,410,0.08001431077718735,1.5395021438598633
right arm,subject08,subject08_session06_filtered.npz,left_turn,410,0.06073231250047684,0.6507505178451538
right arm,subject08,subject08_session07_filtered.npz,left_turn,410,0.07545579969882965,1.3293898105621338
right arm,subject09,subject09_session01_filtered.npz,left_turn,410,0.026455793529748917,-0.9291329979896545
right arm,subject09,subject09_session02_filtered.npz,left_turn,410,0.03522985428571701,-0.5247163772583008
right arm,subject09,subject09_session03_filtered.npz,left_turn,410,0.03751324489712715,-0.4194696843624115
right arm,subject09,subject09_session04_filtered.npz,left_turn,410,0.040714893490076065,-0.2718983292579651
right arm,subject09,subject09_session05_filtered.npz,left_turn,410,0.046613890677690506,0.0
right arm,subject09,subject09_session06_filtered.npz,left_turn,410,0.04420110583305359,-0.11121079325675964
right arm,subject10,subject10_session01_filtered.npz,left_turn,410,0.10078520327806473,2.496880292892456
right arm,subject10,subject10_session02_filtered.npz,left_turn,410,0.060697849839925766,0.6491620540618896
right arm,subject10,subject10_session03_filtered.npz,left_turn,410,0.09832780808210373,2.383613348007202
right arm,subject10,subject10_session04_filtered.npz,left_turn,410,0.10424798727035522,2.6564879417419434
right arm,subject10,subject10_session05_filtered.npz,left_turn,410,0.10134878754615784,2.522857189178467
right arm,subject10,subject10_session06_filtered.npz,left_turn,410,0.08850011229515076,1.93063223361969
right arm,subject10,subject10_session07_filtered.npz,left_turn,410,0.14666399359703064,4.611539363861084
right arm,subject10,subject10_session08_filtered.npz,left_turn,410,0.7486144304275513,32.35681915283203
right arm,subject11,subject11_session01_filtered.npz,left_turn,410,0.06587275862693787,0.8876854777336121
right arm,subject11,subject11_session02_filtered.npz,left_turn,410,0.04971572384238243,0.14297062158584595
right arm,subject11,subject11_session03_filtered.npz,left_turn,410,0.05475366860628128,0.37518107891082764
right arm,subject11,subject11_session04_filtered.npz,left_turn,410,0.05222008749842644,0.2584024965763092
right arm,subject11,subject11_session05_filtered.npz,left_turn,410,0.060370415449142456,0.6340698599815369
right arm,subject11,subject11_session06_filtered.npz,left_turn,410,0.036616258323192596,-0.46081385016441345
right arm,subject11,subject11_session07_filtered.npz,left_turn,410,0.03267451748251915,-0.642497718334198
right arm,subject12,subject12_session01_filtered.npz,left_turn,409,0.0771416574716568,1.407094955444336
right arm,subject12,subject12_session02_filtered.npz,left_turn,410,0.046934980899095535,0.014799785800278187
right arm,subject12,subject12_session03_filtered.npz,left_turn,410,0.037844300270080566,-0.40421056747436523
right arm,subject12,subject12_session04_filtered.npz,left_turn,410,0.03078979067504406,-0.7293691039085388
right arm,subject12,subject12_session05_filtered.npz,left_turn,410,0.03840917721390724,-0.3781740963459015
right arm,subject12,subject12_session06_filtered.npz,left_turn,410,0.037310417741537094,-0.4288184344768524
right arm,subject12,subject12_session07_filtered.npz,left_turn,410,0.050483252853155136,0.17834779620170593
right arm,Matthew,Matthew_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.14889350533485413,0.695293664932251
right arm,Matthew,Matthew_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.135810986161232,0.48278841376304626
right arm,Matthew,Matthew_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.1337004452943802,0.4485059678554535
right arm,Matthew,Matthew_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.11400581896305084,0.12859725952148438
right arm,Matthew,Matthew_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.1293104737997055,0.37719765305519104
right arm,Matthew,Matthew_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.10608895123004913,0.0
right arm,Matthew,Matthew_session07_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.11433707177639008,0.1339779496192932
right arm,Matthew,Matthew_session08_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.09696555882692337,-0.14819538593292236
right arm,Matthew,Matthew_session09_filtered.npz,right_turn,410,0.12680527567863464,0.33650460839271545
right arm,Matthew,Matthew_session10_filtered.npz,right_turn,410,0.10852183401584625,0.039518412202596664
right arm,Matthew,Matthew_session11_filtered.npz,right_turn,410,0.1194436103105545,0.2169257551431656
right arm,Matthew,Matthew_session12_filtered.npz,right_turn,410,0.11607647687196732,0.16223187744617462
right arm,Matthew,Matthew_session13_filtered.npz,right_turn,410,0.11682920157909393,0.17445872724056244
right arm,Matthew,Matthew_session14_filtered.npz,right_turn,410,0.12904442846775055,0.3728761672973633
right arm,Matthew,Matthew_session15_filtered.npz,right_turn,410,0.11094234138727188,0.07883580774068832
right arm,Matthew,Matthew_session16_filtered.npz,right_turn,410,0.1129174456000328,0.1109183132648468
right arm,Matthew,Matthew_session17_filtered.npz,right_turn,409,0.13032616674900055,0.39369603991508484
right arm,Matthew,Matthew_session18_filtered.npz,right_turn,410,0.12078433483839035,0.23870374262332916
right arm,Matthew,Matthew_session19_filtered.npz,right_turn,410,0.1079028993844986,0.029464777559041977
right arm,Matthew,Matthew_session20_filtered.npz,right_turn,411,0.12505865097045898,0.30813339352607727
right arm,Matthew,Matthew_session21_filtered.npz,right_turn,410,0.06069894880056381,-0.7372902631759644
right arm,Matthew,Matthew_session22_filtered.npz,right_turn,470,0.22622492909431458,1.951422929763794
right arm,subject02,subject02_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,409,0.21523478627204895,1.7729049921035767
right arm,subject02,subject02_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.14235994219779968,0.5891660451889038
right arm,subject02,subject02_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.1476128101348877,0.674490749835968
right arm,subject02,subject02_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.13480094075202942,0.4663817882537842
right arm,subject02,subject02_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.12934499979019165,0.3777584731578827
right arm,subject02,subject02_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.13461072742938995,0.46329209208488464
right arm,subject02,subject02_session07_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.13282650709152222,0.4343101680278778
right arm,subject03,subject03_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.09441861510276794,-0.18956653773784637
right arm,subject03,subject03_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.06098638102412224,-0.7326213717460632
right arm,subject03,subject03_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.07610361278057098,-0.4870653748512268
right arm,subject03,subject03_session04_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.09307422488927841,-0.21140407025814056
right arm,subject03,subject03_session05_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.07222987711429596,-0.5499882102012634
right arm,subject03,subject03_session06_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.0663614496588707,-0.645311713218689
right arm,subject04,subject04_session01_relabeled_first_gesture_dropped_filtered.npz,right_turn,411,0.1426534801721573,0.5939341187477112
right arm,subject04,subject04_session02_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.187586709856987,1.3238048553466797
right arm,subject04,subject04_session03_relabeled_first_gesture_dropped_filtered.npz,right_turn,410,0.19392897188663483,1.4268250465393066
